id,area,name,width,height
0ee4eb1e-77ce-47a1-a145-0cb115656aad,Bronx,"Marmion Av. @ Cross Bronx Expwy",352,240
17b6c7dd-2aa7-442a-8832-d39051a47d1b,Manhattan,"Park Ave @ 34 St",352,240
ae2f7e1a-e781-4d24-9434-12f4f4ef4f2b,Manhattan,"WBB -17  SOR - 2  @ Delancey St/FDR",352,240
1222cb4f-2ed6-44f6-9550-29dd2cd6b839,Staten Island,"C3-WSE-07-NB_at_Frsh_Kills_Crk-Ex5",720,480
8ea73365-6c7b-423a-87fc-4b6fc279dafa,Brooklyn,"BQE @ Sands St",352,240
2048e8ae-11df-4ff9-8f4d-b8621af47081,Brooklyn,"Rockaway Pkwy @ Flatlands Ave",352,240
38a9cb68-6d0c-4171-a809-344c581dfcb0,Queens,"C5-BQE-44-Med_at_31st_Ave-Ex41",720,480
3ad126cc-3f99-4626-a229-b9ba4d3f4b63,Manhattan,"St Nicholas Ave @ 181 St",352,240
927f8797-4a7e-4b6d-b11f-cee68a027dc9,Manhattan,"2 Ave @ E 102 St",352,240
21ca79e4-eec6-4073-914d-117409a7e677,Queens,"Kissena Blvd @ LIE N S/R",352,240
046d6b99-ffe1-4761-beb4-5c0a2fc6000e,Queens,"Woodhaven Blvd @ Furmanville Ave",320,240
09d9335c-097e-47ef-af1d-122eb3206f7c,Manhattan,"Rockefeller Plaza @ W 49 St",352,240
a9fb8f19-98a1-4b2b-a920-a3537cc4908f,Manhattan,"Lexington Ave @ E 120 St",352,240
3809d95f-f99e-4eca-9121-9c7db73f8cbd,Manhattan,"12 Ave @ 34 St",352,240
4b99e17b-d784-4ae3-a8f4-fb20e05895ee,Queens,"Beach Channel Dr @B 90 St",352,240
36d14f1c-b6fb-474c-9703-ecfd101ead72,Queens,"Northern Blvd @ 51 St",352,240
0b7a91d5-e33e-42b3-a05a-951be0ab1663,Staten Island,"Staten Island Expy @ Hylan Blvd",352,240
301002c0-fe39-4fad-998a-fdc66e531b1d,Manhattan,"Lincoln Tun Approach(Bet 9Ave & 10Ave) @ W31 ST ",352,240
efea49ae-8d39-4ebd-b2a9-9259361d4233,Bronx,"C1-CBE-10-SB_at_Brx.Rvr_Pkwy-Ex4A",1920,1080
1389ca99-0d3f-4c27-bc45-b0aa238ea7d2,Staten Island,"SIE @ Richmond Ave",352,240
54d81029-7015-4c05-941b-94688c5aae85,Brooklyn,"BB-45 South Rdwy @ 350Ft West of Bklyn Twr",352,240
08ad39a9-300a-47f7-a708-2670843e6add,Manhattan,"2 Ave @ E 116 St",352,240
32bf4789-4142-4484-b110-88343799a40b,Bronx,"C1-MDE-15-NB_at_Jerome_Ave-Ex13",720,480
af741eca-a192-41be-890a-22c7ae7d159a,Manhattan,"WBB-10 NIR-4 @ FDR RD",352,240
b062d611-e0e8-40be-a180-c583391276f5,Manhattan,"Park Ave @ 72 St",352,240
ae67eb8d-0aed-4204-b7a1-3621ed9eef65,Brooklyn,"Tillary St EB @ Jay St",352,240
24101bcf-29a7-4417-b77d-1f0368dc212d,Manhattan,"Hudson St @ Laight St",352,240
65440c6b-ee6c-4406-8542-2992b6edf3f5,Manhattan,"Lexington Ave @ 72 St",352,240
1c3a5c25-a40c-40d6-8f6b-030294269fd1,Staten Island,"Lily Pond Ave @ School Rd",352,240
4302c1d7-48aa-45a8-a9cc-93e3132c1530,Bronx,"C1-CBE-03_N_NB_at_Nelson_Ave-Ex02A",720,480
6cc9b754-096d-4c5c-94b7-64f6b69523d5,Staten Island,"C3-WSE-12-NB_at_Bloomfield_Ave_Ex9",720,480
6d1bd95a-307b-4067-a31c-f28d48c578b1,Brooklyn,"Metropolitan Ave @ Grand St",352,240
7305c9dc-a6c3-4eab-83df-fd42296efbea,Bronx,"Southern Bl. @ Cross Bronx Expwy",352,240
6c4cf1a1-0a5c-4d32-b502-e4f28fe609fd,Manhattan,"South St @ Broad St",352,240
9cdf1f47-307d-48e8-8627-e77e189b5fed,Manhattan,"207 ST @ 9 Ave",352,240
19c66e73-e218-42d8-af0b-a0ca53e6bf86,Queens,"Queens Blvd @ 51 St",352,240
4c47eda8-a4a1-4e40-baea-578e0a99e1d8,Queens,"Beach Channel Dr @B 32 St",352,240
f7c4d5d5-f4d4-4590-9459-6491507ae9f9,Manhattan,"1 Ave @ 59 St",352,240
56b99f9c-1f5c-47e2-8c85-d34de045a4ce,Manhattan,"Varick St @ Beach St ",352,240
5933e055-d8a8-4248-a125-fc2ce861b1bc,Queens,"Cross Island Pkwy @ 100 Ave",352,240
9010e3c3-c888-43d4-9c26-59e9b802dbcb,Brooklyn,"Old Fulton St @ Furman St",352,240
97190ee9-e92c-46ef-a3fc-e8c75d416a9a,Bronx,"Henry Hudson Pkwy @ 232 St",352,240
5c505897-b475-4359-897d-b064bdb9feef,Manhattan,"8 AVE @ 44 St",352,240
5920b7ab-9e05-429f-971a-b235f3ea8dd9,Staten Island,"Amboy Rd @ Nelson Ave",352,240
8c1ea3b6-0db6-4222-ba50-2545f8f82d71,Manhattan,"Hudson St @ Erickson Pl/Beach",352,240
0a49d947-2a5b-498d-a386-2cef5ce883fa,Manhattan,"50 St Btwn 8 Ave & Broadway",352,240
52b1ec32-8603-41e1-af1f-b1e1e33752cb,Staten Island,"Drumgoole Rd E @ Arden Ave - quad - Ptz - 1.130",352,240
06d36cfe-a331-4cfd-8ff1-84e4d711e418,Manhattan,"E 63 St @ QBB",352,240
1927b469-e2dc-4943-a70c-e6e52fd4c48c,Manhattan,"Broadway @ 46 St- Quad South",352,240
3c079db6-117c-4e79-94ed-5178c1517091,Brooklyn,"Prospect Expwy @ Prospect Park W @ 19 St",352,240
4bd443cf-374f-493b-a99e-5f7ef81bb62c,Manhattan,"3 Ave @ E 88 St",352,240
1f0cfaad-4c0a-46e8-a5e3-f206d83a875d,Manhattan,"Delancy St @ Essex St",352,240
1dddf912-4718-4b2a-94dd-1f793a9ed22c,Manhattan,"6 Ave @ 49 St",352,240
1b2c9e6b-8c35-47a2-aa60-fdd688cb61bf,Queens,"Woodhaven Blvd @ Union Tpke",352,240
2b391c96-b487-4e60-81ad-784766fa48da,Queens,"LIE @ Marathon Pkwy",352,240
57e5f44a-4515-4bc2-877b-e6373fce5a66,Queens,"Queens Blvd @ Union TPKE",352,240
18afd744-f7ce-41c2-98d1-93e87929f627,Manhattan,"2 Ave @ E 110 Street",352,240
7384e16f-2921-4b14-b5a8-15cf58ef7ef0,Queens,"C5-BQE-31-EB_at_54th_Ave",1920,1080
3a3cf44d-6c42-46fb-b774-1441a8582076,Manhattan,"Canal St @ Hudson St",352,240
10299e9d-efa0-4b1c-8b25-ce6e1657bc1b,Brooklyn,"C2-GE-06-WB_at_63rd_St",640,352
dce301aa-b937-4041-b9fc-960abcd79178,Manhattan,"Varick St @ Laight St",352,240
53295394-387c-4a43-b472-52494ac8122e,Staten Island,"Drumgoole Rd E @ Bloomingdale Rd - quad - ptz - 143.26",352,240
5ea363ef-b9d6-4863-967a-0b4ba9cb0bf5,Brooklyn,"Flatbush Ave @ Aviator Sports & Golf Club",352,240
11ce0ee6-349b-4120-a66e-6299d28915f5,Bronx,"3rd Av. @ E 156 St.",352,240
26b347aa-b8c0-4539-b061-87c8a6472d04,Brooklyn,"Ocean Pkwy @ Kings Hwy",352,240
e38fd7b8-c074-4b6e-bc52-4dd932145239,Manhattan,"Rockefeller Plaza @ W 50 St",352,240
0f12dfd0-76dc-4b34-80ee-b10ceeb84058,Manhattan,"2nd Camera South Bound BPU-148.57",352,240
b6ce5739-ca1f-4a8d-bfd7-5979d6ff6dfc,Manhattan,"2nd Camera North Bound BPU -148.52",352,240
2b4ed602-312d-4f31-a531-153ac33b4d87,Brooklyn,"Gowanus Expy @ 49 St",352,240
1c51b3ec-3d29-4025-928d-4e182e7c0bd5,Brooklyn,"Grand Army Plaza",352,240
2d1a4d63-7755-4a4f-bce2-79a24bd212bc,Staten Island,"Victory Blvd @ Christopher/Lamberts La - quad - ptz -131.3",352,240
7dbe41f8-0ec7-416c-9281-65bbff3a8d76,Queens,"Rockaway Blvd @ Guy Brewer Blvd",352,240
23994d9e-7e59-4808-8d47-405f779d19cf,Manhattan,"1 Ave @ 14 St",352,240
2be7f4d2-3a72-45ba-95ad-b526643ef248,Manhattan,"West Street @ Intrepid",352,240
10a4be9a-8a1e-4b0c-84c3-b51c887b5e27,Queens,"Northern Blvd @ 48 St",352,240
023cc794-4600-4c02-91e7-4603597172e1,Brooklyn,"Wythe Ave @ Williamsburg st w",352,240
42e78c2b-3c70-47dc-8685-f1b5eca3deb5,Brooklyn,"C2-BQE-30B_W_at_Stewart Ave",1920,1080
311a7ce2-4648-45f7-8b69-32709361adb7,Manhattan,"1 Ave @ 96 St",320,240
04589f46-2429-4e26-ad46-12a1198e9a9c,Manhattan,"6 Ave @ West Houston St",352,240
5674d0ea-703a-43c3-bea7-2b372d1eb00b,Manhattan,"2 Ave @ 72 St",352,240
c18f480c-e7a9-494b-b435-26adb0d9f881,Brooklyn,"C2-BQE-29_WB_at_Morgan_Street",720,480
c361e170-2da7-4e96-9546-296e766b37ad,Queens,"Queens Blvd @ 39 ST",352,240
482e6d35-2a67-4bbf-b36f-fdf7e031d607,Manhattan,"5 AVE @ 50 St",352,240
23cb2c44-1a40-4950-a914-ee7f1390553c,Staten Island,"West Shore Expy @ Arden Ave",352,240
fcc24aa5-4da0-48f2-aa43-e70e4677517c,Manhattan,"6 Ave @ 23 St",352,240
98c2de4e-fa0c-41d0-b1ea-6d1df833d792,Manhattan,"Allan St (1 Ave) @ Houston St (B)",352,240
38c07664-0329-471e-997f-6a9015a5bcef,Manhattan,"1 Ave @ 124 St",352,240
989b2f37-3fd6-4ccc-bcb5-ea2199bd2645,Brooklyn,"BQE @ Sands St (westbound) - video detection",352,240
4d92ff93-b8cd-4bec-a70b-91b4cfb75857,Staten Island,"C3-MLK-03_NB_at_Walkr_St-Bayonne_Br",720,480
316320b7-ff9c-44d4-b135-c780ee698eeb,Queens,"Long Island Expy @ Exit 29",352,240
10c5f42d-6b32-4533-9c35-5715af4e4c76,Manhattan,"3 Ave @ E 86 St",352,240
3c1e0011-7dbc-4bc9-af2d-e9347754bf91,Queens,"Myrtle Ave @ 79 Lane - 73.74",352,240
3c39ff3e-a81c-4f92-9a96-7861aa244fda,Manhattan,"BB-43 North Rdwy @ Center Expansion Jt",352,240
1a64aa06-3f40-4f0e-b752-09ec44415ac0,Queens,"C5-VWE-25-NB_at_GCP-Intr.-Ex14",720,480
67a4769b-dfb2-4a0d-9605-114df107646c,Manhattan,"West St @ West Houston St",352,240
2b06cd6d-e698-4c1a-b306-6827fb19ced7,Brooklyn,"BQE @ BELT PKWY Ramp & 60 St",352,240
2a0ec6ff-9284-466a-9785-9f6df84ea4cf,Bronx,"Fordham Rd @ Hughes Ave",352,240
28880add-7b37-4d5f-8414-ad32aaab6c13,Queens,"Beach Channel Dr @B 101 St",352,240
5d1261df-ddca-435a-9292-a0474c44c104,Queens,"Woodhaven Blvd @ 91 ave",352,240
5c4582a7-6492-41ac-9bac-fa872878117b,Manhattan,"West st and Fulton",352,240
2fe54994-17f6-499d-a3ab-8c6dc9dbda9e,Brooklyn,"Atlantic Ave @ Bedford Ave",352,240
214340ac-8243-4820-b924-f36caff361e2,Manhattan,"2 Ave @ 36 St-Midtown Tunnel",320,240
40ffec9e-3d55-454f-927e-6a602869a451,Queens,"Northern Blvd @ Parsons Blvd",352,240
4d39d6d1-a009-480f-9851-2571a5df1174,Manhattan,"Amsterdam Ave @ 181 St",352,240
097a7d75-1c6f-4817-aa34-1de4bb9202f4,Manhattan,"MHB-23 Manh LRDWY @ Twr",352,240
1d799f04-00cb-4ac7-a8bb-f090b750dee1,Staten Island,"Victory Blvd @ Richmond Ave - quad - ptz - 130.146",352,240
5a9ebe48-fb36-4de7-8666-f50de83c7941,Brooklyn,"Flatbush Ave @ Nostrand Ave",352,240
97ace0b4-fcd2-4c3a-8c05-dbf73639ead3,Queens,"Crescent st @ 39 Ave",352,240
25ad72fe-e74c-49af-b4c0-34c9eac14655,Manhattan,"Canal St @ Greenwich St ( Holland Tunnel )",352,240
08c57946-9560-49b9-97a5-43dc5b74fd86,Brooklyn,"Cadman Plz E/Washington St @ Prospect St",352,240
5654d38e-e305-4119-8cd9-8a7bba65460b,Bronx,"Pelham Pkwy E/B @ Boston Rd",352,240
2e0d5197-6073-411f-9d1a-326b30841679,Brooklyn,"Flushing Ave @ Williamsburg W St",352,240
86d418ab-10bc-4b73-a283-153abffabb0f,Manhattan,"West st and West Thames (Battery tunnel)",352,240
37bb364c-7288-4481-a17d-0ba244d30baa,Queens,"Rockaway Blvd @ Baisley Blvd",352,240
52f3d48e-3bb4-4c83-bec2-1fb664d56501,Queens,"Qns Blvd @ QnCnt Mall",352,240
67ef8775-026c-4152-8a81-c7251e0677ca,Queens,"Northern Blvd @ 161 St",352,240
7a0d9e49-875c-4c25-a92b-3d239de40d43,Brooklyn,"Old Fulton St @ Prospect St",352,240
6316453d-6161-4b98-a8e7-0e36c69d267c,Manhattan,"2 Ave @ 74 St",352,240
98b37dd5-bd64-4ace-add0-37f5135df600,Manhattan,"St Nicholas Ave @ 125 St",352,240
4d84b5d0-c9da-4916-8b0d-4f3d573d3509,Brooklyn,"Old Fulton @ Vine St @ Hicks St",352,240
1e627100-9bce-4e78-bcd3-736344a2236c,Manhattan,"FDR Dr @ Brooklyn Bridge Exit NB",352,240
